ID,First Name,Last Name,Money Available,Concerts Purchased,TicketMiner Membership,Username,Password
57,Garcia,Jorge,1752.09,0,true,garciajorge,Fun!23
58,Gardea,Eric,1792,0,false,gardeaeric,Fun!23
59,Gomez,Derek,1032.97,0,true,gomezderek,Fun!23
60,Gonzalez,Maria,4368.1,0,true,gonzalezmaria,Fun!23
61,Guerra,Kevin,1737.37,0,false,guerrakevin,Fun!23
62,Gutierrez,Ian,4257.99,0,true,gutierrezian,Fun!23
63,Holguin,Alan,2408.19,0,true,holguinalan,Fun!23
64,Huerta,Jazmin,1039.08,0,false,huertajazmin,Fun!23
65,Ike,Michael,2431.57,0,true,ikemichael,Fun!23
66,Jaquez,Jorge,4593.26,0,false,jaquezjorge,Fun!23
67,Johnson,Roberto,4079.61,0,false,johnsonroberto,Fun!23
68,Kocian,Kimberly,1404.24,0,false,kociankimberly,Fun!23
69,Laneave,Erik,4888.59,0,false,laneaveerik,Fun!23
70,Lara,Devin,1002.06,0,false,laradevin,Fun!23
71,Lopez,Caleb,5973.77,0,true,lopezcaleb,Fun!23
72,Macdonald,Claire,2299.86,0,false,macdonaldclaire,Fun!23
73,Mercado,Sebastian,2457.83,0,false,mercadosebastian,Fun!23
74,MestaValenzuela,Natalia,1867.89,0,true,mestavalenzuelanatalia,Fun!23
75,Moreno,Christin,865.6,0,false,morenochristin,Fun!23
76,Nowmi,Saeefa,4681.9,0,false,nowmisaeefa,Fun!23
77,Odom,Christian,1121.89,0,false,odomchristian,Fun!23
78,Padilla,Marko,5742.1,0,false,padillamarko,Fun!23
79,Pallares,Raul,4260.39,0,true,pallaresraul,Fun!23
80,Pedraza,Diego,1134.68,0,true,pedrazadiego,Fun!23
81,Quinn,Anaiah,3179.88,0,false,quinnanaiah,Fun!23
82,Quinones,Luis,4429.14,0,true,quinonesluis,Fun!23
83,Remes,Fernando,2500.57,0,false,remesfernando,Fun!23
84,Rivas,Ashley,5861.44,0,false,rivasashley,Fun!23
85,Rocha,Adrian,1407.4,0,false,rochaadrian,Fun!23
86,Rodriguez,Christian,2533.41,0,false,rodriguezchristian,Fun!23
87,Rojas,Sabas,4565.65,0,false,rojassabas,Fun!23
88,Ruiz,Edgar,4612.6,0,false,ruizedgar,Fun!23
89,Ruiz,Salvador,2014.15,0,true,ruizsalvador,Fun!23
90,Sandoval,Jorge,4670.88,0,false,sandovaljorge,Fun!23
91,Sepulveda,Fernando,5125.57,0,false,sepulvedafernando,Fun!23
92,Staker,William,3953,0,false,stakerwilliam,Fun!23
93,UrbinaAraiza,Angel,3619.53,0,false,urbinaaraizaangel,Fun!23
94,Vallecillo,Martin,5575.62,0,true,vallecillomartin,Fun!23
95,Vazquez,Javier,4682.13,0,false,vazquezjavier,Fun!23
96,Wawra,Walter,1701.51,0,false,wawrawalter,Fun!23
97,Wittmann,Zachary,1424.93,0,true,wittmannzachary,Fun!23
98,Zuany,Maria,3110.3,0,false,zuanymaria,Fun!23
